!WOW!|Mills Novelty Company|March, 1932|1|ME|Unknown
Home Run|Chicago Coin Machine Manufacturing Company|December 09, 1941|1|EM|Sports - Baseball
Home Run 1940|Chicago Coin Machine Manufacturing Company|February 22, 1940|1|EM|Sports - Baseball
Home Run Hitter|Coin Concepts, Incorporated|1994|1|SS|Sports - Baseball
Home Run ‘44|V. P. Distributing Company|1944|1|EM|Unknown
Home Stretch|Genco Manufacturing Company|June, 1937|1|EM|Sports - Horse Racing
Home-Run|Atlas Indicator Works Incorporated|November, 1932|1|ME|Sports - Baseball
Homestretch|A.B.T. Manufacturing Company|May, 1935|1|EM|Sports - Horse Racing
Honey|Williams Electronics, Incorporated|May 04, 1972|4|EM|Girls/Women - Romance
Honey|Genco Manufacturing Company|August, 1947|1|EM|Girls - Women
Honey|Exhibit Supply Company|1938|1|EM|Unknown
Hong Kong|Williams Manufacturing Company|September 22, 1952|1|EM|Adventure
Honolulu|Interflip S. A.|Unknown|1|EM|Unknown
Hooey-Ball|Barok Company|February, 1932|1|ME|Unknown
Hooey-Ball Jr.|Barok Company|February, 1932|1|ME|Unknown
Hook|Data East Pinball, Incorporated|January 30, 1992|4|SS|Licensed Theme - Pirates - Fictional
Hoop-Er-Doo|Pierce Tool and Manufacturing Company|March, 1932|1|ME|Unknown
Hoops|Premier Technology|February, 1991|4|SS|Sports - Basketball
Hoosier Baseball|Hoosier Games Company|November, 1932|1|EM|Sports - Baseball
Hootenanny|Bally Manufacturing Corporation|November, 1963|1|EM|Music - Singing - Dancing
Hop Shot|Gotham Pressed Steel Corporation|1936|1|ME|Unknown
Hop-Scotch|Buckley Manufacturing Company|August, 1935|1|EM|Children's Games
Horoscope|D. Gottlieb &amp; Company|March, 1941|1|EM|Astrology - Horoscope
Horror|Pinball Shop|Unknown|4|SS|Horror
Horse Shoes|D. Gottlieb &amp; Company|November, 1937|1|EM|Unknown
Horsefeathers|Williams Manufacturing Company|January 14, 1952|2|EM|Sports - Horse Racing
Horsefeathers|Colonial Specialties Company|January, 1933|1|ME|Unknown
Horseshoe|A.B.T. Manufacturing Company|June, 1933|1|ME|Games - Horseshoes
Horseshoes|Williams Manufacturing Company|December 18, 1951|1|EM|Happiness - Games - Horseshoes
Horseshoes|Western Products, Incorporated|April, 1939|1|EM|Unknown
Horseshoes|Jay Screw Products Corporation|1932|1|Unknown|Unknown
Hot &amp; Cold|Industria (Electromecánica) de Recreativos S.A|1976|1|EM|Sports - Snow Skiing
Hot &amp; Cold|Industria (Electromecánica) de Recreativos S.A|1978|4|EM|Sports - Snow Skiing
Hot &amp; Cold|Industria (Electromecánica) de Recreativos S.A|1978|4|SS|Sports - Snow Skiing
Hot Ball|Taito do Brasil, a division of Taito, Japan|1979|4|SS|Unknown
Hot Cha|Exhibit Supply Company|July, 1932|1|ME|Unknown
Hot Diggity|Williams Manufacturing Company|May 28, 1956|1|EM|Happiness - Music - Dancing
Hot Fire Birds|NSM Lions|December, 1985|4|SS|Outer Space - Fantasy
Hot Hand|Stern Electronics, Incorporated|June, 1979|4|SS|Cards/Gambling
Hot Line|Williams Electronic Manufacturing Company|September 15, 1966|1|EM|Sports - Fishing
Hot Race|A.M.I|1975|4|EM|Sports - Auto Racing
Hot Shot|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|October, 1994|1|SS|Sports - Basketball
Hot Shot|D. Gottlieb &amp; Company|September, 1973|4|EM|Billiards
Hot Shots|Premier Technology|April, 1989|4|SS|Circus/Carnival
Hot Shotz|Bally Midway Manufacturing Company|1985|1|SS|Unknown
Hot Spot|Peo Manufacturing Corporation|Unknown|1|ME|Unknown
Hot Springs|D. Gottlieb &amp; Company|May, 1937|1|EM|Sports - Horse Racing
Hot Tip|Williams Electronics, Incorporated|November, 1977|4|SS|Sports - Horse Racing
Hot Tip|J. H. Keeney and Company Incorporated|May, 1947|1|EM|Sports - Horse Racing
Hot Tip|J. H. Keeney and Company Incorporated|August, 1937|1|EM|Unknown
Hot Tip|Williams Electronics, Incorporated|June, 1977|4|EM|Sports - Horse Racing
Hot Wheels|Zaccaria|September, 1979|4|SS|Auto Racing
Hot-Rods|Bally Manufacturing Corporation|Unknown|1|EM|Sports - Auto Racing
Hotdogger|The Henry W.T. Mali &amp; Co., Inc.|own|Unknown|Unknown|Unknown
Hotdoggin'|Bally Manufacturing Corporation|June, 1980|4|SS|Sports - Skiing
House of Diamonds|Zaccaria|July, 1978|4|SS|Cards - Gambling
Howzat!|A. Hankin &amp; Company|1980|4|SS|Sports - Cricket
Hula-Hula|Chicago Coin Machine Manufacturing Company|July, 1965|2|EM|Recreation - Swimming - Singing - Dancing
Humpty Dumpty|D. Gottlieb &amp; Company|October 25, 1947|1|EM|Fictional Characters
Hunch|Bally Manufacturing Corporation|1935|1|EM|Unknown
Hunter|Bally Manufacturing Corporation|1936|1|EM|Unknown
Hunter|O. D. Jennings and Company|September, 1935|1|EM|Sports - Hunting
Hurdle Hop|International Mutoscope Reel Company, Incorporated|January, 1935|1|EM|Unknown
Hurdles|Van-Scho Corp|July, 1934|1|ME|Sports - Track Running
Hurdy Gurdy|D. Gottlieb &amp; Company|June, 1966|1|EM|Happiness - Music
Hurdy Gurdy (Italy)|D. Gottlieb &amp; Company|June, 1966|1|EM|Happiness - Music
Hurricane|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|August, 1991|4|SS|Happiness - Circus/Carnival
Hy-Ball|Lindstrom Tool and Toy Company|March, 1932|1|ME|Unknown
Hy-Roll|Bally Manufacturing Corporation|1947|1|EM|Unknown
Hy-Skor|Device Manufacturers, Incorporated|November, 1931|1|ME|Unknown
Hyde Park|D. Gottlieb &amp; Company|August, 1966|2|EM|World Places
Hyde Park|D. Gottlieb &amp; Company|June, 1966|2|EM|World Places
Hyperball|Williams Electronics, Incorporated|December, 1981|2|SS|Outer Space - Fantasy
Hypnox|Stern Electronics, Incorporated|1982|4|SS|Fantasy
Icarus|Proyectos Electromecánicos de Tanteo y Color|1972|1|EM|Unknown
Icarus|Recel S. A.|September, 1977|4|EM|Sports - Parasailing - Water Sports - Recreation - Happiness
Ice Castle|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|May, 1989|4|SS|Unknown
Ice Fever|Premier Technology|February, 1985|4|SS|Sports - Hockey
Ice Frolics|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Ice Mania|Jac van Ham|1986|4|SS|Sports - Ice Hockey
Ice Mania|I.D.I.|Unknown|4|SS|Sports - Hockey
Ice Show|D. Gottlieb &amp; Company|March, 1966|1|EM|Sports - Ice Skating
Ice Show|D. Gottlieb &amp; Company|January, 1966|1|EM|Sports - Ice Skating
Ice-Revue|D. Gottlieb &amp; Company|December, 1965|1|EM|Sports - Ice Skating
Iceland|V. P. Distributing Company|1944|1|EM|Unknown
Idaho|United Manufacturing Company|November, 1944|1|EM|American Places
Ideal-Golf|Max Jentzsch &amp; Meerz|May, 1934|1|ME|Unknown
Imo Bomber|Max Jentzsch &amp; Meerz|1937|1|EM|Unknown
IMO Diamant|Max Jentzsch &amp; Meerz|1938|1|EM|Unknown
Imo Nürburg|Max Jentzsch &amp; Meerz|Unknown|1|EM|Sports - Auto Racing
Imo Spurt|Max Jentzsch &amp; Meerz|1952|1|EM|Sports - Bicycle Racing
Imo Weltflug (Flying the World)|Max Jentzsch &amp; Meerz|1937|1|EM|Unknown
IMO-JUWEL|Max Jentzsch &amp; Meerz|1938|1|EM|Unknown
Imo-Rennen|Max Jentzsch &amp; Meerz|August, 1936|1|Unknown|Unknown
Impact|Recreativos Franco|1975|4|EM|Unknown
Impact|Mills Novelty Company|February, 1935|1|EM|Unknown
Impacto|Recreativos Franco|1975|1|EM|Unknown
Imperator|Jack Rogers|1961|2|EM|Unknown
Imperial|International Mutoscope Reel Company, Incorporated|May, 1936|1|EM|Unknown
Improved Sharp's Shooter - Baseball Bagatelle|The Sharp-Boyd Company|1933|1|ME|Sports - Baseball
Improved Sportsman|O. D. Jennings and Company|January, 1935|1|EM|Unknown
Improved Whiffle|Automatic Industries, Incorporated|May, 1931|1|ME|Unknown
Independence Day|Sega Pinball, Incorporated|July, 1996|6|SS|Outer Space/Licensed Theme/Action Movie
Indian Chief|Lindstrom Tool and Toy Company|Unknown|1|ME|Native Americans - Warriors
Indiana Jones|Stern Pinball, Incorporated|April, 2008|4|SS|Licensed Theme - Movie - Myth and Legend
Indiana Jones: The Pinball Adventure|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|August, 1993|4|SS|Adventure - Fictional - Licensed Theme
Indiana Jones: The Pinball Adventure|Universal de Desarrollos Electronicos, S.A.|Unknown|4|SS|Unknown
Indianapolis|Talleres del Llobregat S.A. [Automaticos]|Unknown|1|EM|Unknown
Indianapolis 500|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|June 06, 1995|4|SS|Sports - Auto Racing
Indicator|Automatic Amusements Company|February, 1935|1|EM|Unknown
International|Unknown Manufacturer|1933|1|Unknown|Unknown
Invader Ball|Red Baron Amusements|1980|1|SS|Unknown
Invaders|Genco Manufacturing Company|October, 1953|1|EM|Unknown
Invasion|Westerhaus Amusement Company|October, 1943|1|EM|Adventure - Combat
Invasion Stratogy|Komputer Dynamics Corporation|October, 1975|2|SS|Outer Space - Fantasy
Io Moon|Creaciones e Investigaciones Electrónicas, Sociedad Limitada|1996|4|SS|Outer Space - Science Fiction - Space Fantasy
Iron Balls|Universal de Desarrollos Electronicos, S.A.|1987|4|SS|Unknown
Iron Maiden||February, 2005|4|SS|Fantasy
Iron Maiden|Stern Electronics, Incorporated|October, 1981|4|SS|Fantasy
Iron Maiden II||August, 2009|4|SS|Fantasy
Iron Man|Stern Pinball, Incorporated|2010|4|SS|Comics - Fantasy - Licensed Theme
Iron Man (Pro Vault Edition)|Stern Pinball, Incorporated|July, 2014|4|SS|Comics - Fantasy - Licensed Theme
Iron Man Classic|Stern Pinball, Incorporated|2010|4|SS|Comics - Fantasy - Licensed Theme
Irons and Woods|Sega Pinball, Incorporated|Unknown|1|SS|Sports - Golfing
Island Queens|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Ivanhoe|Nate Schneller Incorporated|April, 1950|1|EM|Unknown
Ivory Golf|J. H. Keeney and Company Incorporated|September, 1935|1|EM|Unknown
Ivory Sweepstakes|California Exhibit Company|own|Unknown|EM|Unknown
Jack 'N Jill|D. Gottlieb &amp; Company|April, 1948|1|EM|Nursery Rhyme
Jack and Jill|Bally Manufacturing Corporation|February, 1933|2|ME|Unknown
Jack Benson||own|Unknown|Unknown|Unknown
Jack In The Box|D. Gottlieb &amp; Company|February, 1973|4|EM|Happiness - Circus/Carnival
Jack Pot|Artists and Creators Guild Incorporated|May, 1932|1|ME|Unknown
Jack Pot Pin Game|Moseley Vending Machine Exchange|July, 1932|1|ME|Unknown
Jack Rabbit|Bigliardini Elettronici Milano|Unknown|4|SS|Rabbit Hunting
Jack Rabbit|Success Games Company|1934|1|Unknown|Unknown
Jack Rabbit|Century Manufacturing Company|October, 1934|1|EM|Unknown
Jack-Pot|Field Manufacturing Corporation|June, 1932|1|ME|Unknown
Jackpot|Williams Electronics, Incorporated|April 27, 1971|4|EM|Canadian West - Prospecting
Jackpot|Bigliardini Elettronici Milano|1976|1|EM|American West - Prospecting
Jacks Open|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Unknown
Jacks Open|D. Gottlieb &amp; Company|February, 1977|1|EM|Cards/Gambling
Jacks to Open|Mylstar Electronics, Incorporated|May, 1984|4|SS|Playing Cards - Poker
Jack·Bot|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|October 10, 1995|4|SS|Fantasy - Gambling - Outer Space
Jai Alai|Williams Electronics, Incorporated|own|Unknown|Unknown|Unknown
Jai-Alai..|Segasa d.b.a. Sonic|January, 1978|4|EM|Sports - Jai Alai
Jake Mate|Proyectos Electromecánicos de Tanteo y Color|Unknown|1|EM|Chess
Jake Mate|Recel S. A.|1974|1|EM|Chess
Jalisco|Recreativos Franco|1976|1|EM|Mexico
Jalopy|Williams Manufacturing Company|August 08, 1951|1|EM|Sports - Auto Racing
Jamboree|Exhibit Supply Company|May, 1948|1|EM|Celebration - Music - Singing - Dancing
James Bond 007|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|October, 1980|4|SS|Celebrities - Fictional - Licensed Theme
James Cameron’s Avatar|Stern Pinball, Incorporated|August 27, 2010|4|SS|Fantasy - Licensed Theme
James Cameron’s Avatar (Limited Edition)|Stern Pinball, Incorporated|December 02, 2010|4|SS|Fantasy - Licensed Theme
Jane|Fipermatic Indústria Comércio Importação e Exportação Ltda|Unknown|4|EM|Fantasy
Jaws|Europlay|Unknown|1|EM|Sharks - Scuba Diving
Jay-Ball|O. D. Jennings and Company|February, 1932|1|ME|Unknown
Jazzy|A &amp; M Vending Machine Company|September, 1932|1|ME|Unknown
Jeanie|Exhibit Supply Company|June, 1950|1|EM|American History - American Places - Women
Jeep|Unknown Manufacturer|April, 1943|1|EM|Unknown
Jet Spin|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|October, 1977|4|EM|Fantasy - Recreation
Jet Surf|Rowamet Indústria Eletrometalúrgica LTDA|Unknown|2|Unknown|Fantasy - Recreation
Jig Joy|Rock-ola Manufacturing Corporation|December, 1937|1|EM|Unknown
Jig Saw|Williams Manufacturing Company|November 20, 1957|1|EM|Unknown
Jig-alo Electro-Ball|Electro-Ball Company|December, 1932|1|EM|Unknown
Jiggers (Jr)|Genco Manufacturing Company|October, 1932|1|ME|Unknown
Jiggers (Sr)|Genco Manufacturing Company|December, 1932|1|ME|Unknown
Jiggilo|Ace Novelty Company|December, 1932|1|ME|Unknown
Jiggilo|Colonial Specialties Company|December, 1932|1|ME|Unknown
Jiggilo|Ace Novelty Company|January, 1933|1|ME|Unknown
Jimmy Valentine|Scientific Machine Corporation|January, 1936|1|EM|Fictional Characters
Jitter-Bug|Genco Manufacturing Company|September, 1938|1|EM|Happiness - Music - Dancing - Singing
Jitters|Western Equipment &amp; Supply Company|July, 1936|1|EM|Unknown
Jive Time|Williams Electronics, Incorporated|April 29, 1970|1|EM|Music - Singing
Jockey Club|Standard Manufacturing Company|January, 1933|1|ME|Horse Racing
Jockey Club|Electro-Ball Company|1935|1|EM|Sports - Horse Racing
Jockey Club|Exhibit Supply Company|June, 1935|1|EM|Sports - Horse Racing
Jockey Club|A.B.C. Coin Machine Company|February, 1933|1|ME|Unknown
Jockey Club|Bally Manufacturing Corporation|Unknown|1|EM|Sports - Horse Racing
Jockey Club|Bally Manufacturing Corporation|September, 1941|1|EM|Sports - Horse Racing
Jockey Club|D. Gottlieb &amp; Company|April, 1954|1|EM|Sports - Horse Racing
Jockey Special|Bally Manufacturing Corporation|Unknown|1|EM|Sports - Horse Racing
Joel Silver, The Pinball|Data East Pinball, Incorporated|February 11, 1991|4|SS|Unknown
Johnny Mnemonic|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|August 08, 1995|4|SS|Celebrities - Fictional - Licensed Theme
Joker|Playmatic|1974|4|EM|Playing Cards
Joker|D. Gottlieb &amp; Company|November, 1950|1|EM|Playing Cards - Poker
Joker|Bally Manufacturing Corporation|Unknown|4|EM|Fun Park
Joker Ball|Midway Manufacturing Company|Unknown|1|EM|Playing Cards
Joker Poker|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|August, 1978|4|EM|Cards/Gambling
Joker Poker|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|August, 1978|4|SS|Cards/Gambling
Joker Wild|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Joker's Wild|Venture Line|1978|4|SS|Unknown
Joker's Wild|Segasa d.b.a. Sonic|October, 1977|4|EM|American West - Cards/Gambling
Joker's Wild|Midway Manufacturing Company|February 12, 1960|1|EM|Playing Cards
Jokers &amp; Ladders One Ball|SIRMO Games S.A.|Unknown|1|SS|Unknown
Jokerz!|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|December, 1988|4|SS|Cards/Gambling
Jolly|Chicago Coin Machine Manufacturing Company|March 29, 1940|1|EM|Unknown
Jolly Joker|Mondialmatic|1979|1|EM|Playing Cards
Jolly Joker|United Manufacturing Company|November, 1955|1|EM|Unknown
Jolly Joker|Williams Manufacturing Company|August 17, 1955|1|EM|Playing Cards
Jolly Jokers|Williams Electronic Manufacturing Company|January 02, 1962|1|EM|Unknown
Jolly Marble|Unknown Manufacturer|Unknown|1|ME|Unknown
Jolly Park|Spinball S.A.L.|1996|4|SS|Amusement Park
Jolly Ride|Playmatic|1974|4|EM|Amusement Park - Roller Coasters
Jolly Ride|Playmatic|1974|1|EM|Amusement Park - Roller Coasters
Jolly Roger|Williams Electronics, Incorporated|December 20, 1967|4|EM|Historical - Pirates
Jolly Roger|Creative Products|own|Unknown|SS|Historical - Pirates
Joly Captain|Rally a.k.a. Rally Play Company|1965|2|EM|Sports - Water Sports
Jostle|Unknown Manufacturer|Unknown|1|ME|Unknown
Jostle|Royal Novelty Company|October, 1931|1|ME|Unknown
Joust|Williams Electronics, Incorporated|April, 1983|2|SS|Unknown
Joust|Bally Manufacturing Corporation|September, 1969|2|EM|Historical
Joy Game|The Ad-Lee Company, Incorporated|April, 1932|1|ME|Unknown
Joyball|Richard Manufacturing Company|June, 1932|1|ME|Unknown
Jubilee|Williams Manufacturing Company|1954|1|EM|Music
Jubilee|Williams Electronics, Incorporated|June 29, 1973|4|EM|Historical
Jubilee|D. Gottlieb &amp; Company|May, 1955|4|EM|Unknown
Judge Dredd|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|September, 1993|4|SS|Fictional - Licensed Theme
Judy|Exhibit Supply Company|July, 1950|1|EM|Girls/Women
Juggle Ball|Rock-ola Manufacturing Corporation|September, 1932|1|ME|Unknown
Juke Box|Chicago Coin Machine Manufacturing Company|September, 1976|4|EM|Music - Dancing
Jumaci|Jumaci S.L.|Unknown|1|EM|Unknown
Jumbo|Bally Manufacturing Corporation|September, 1935|1|EM|Unknown
Jumbo|Nate Schneller Incorporated|Unknown|1|Unknown|Unknown
Jumbo|Bally Manufacturing Corporation|August, 1935|1|EM|Unknown
Jumbo, Jr.|D. Gottlieb &amp; Company|own|Unknown|EM|Unknown
Jump Shot|D. Gottlieb &amp; Company|January, 1972|1|EM|Unknown
Jumper|Exhibit Supply Company|December, 1939|1|EM|Unknown
Jumpin' Jack's|Williams Electronic Manufacturing Company|April 10, 1963|2|EM|Happiness - Circus/Carnival
Jumpin' Jacks|Genco Manufacturing Company|December, 1952|1|EM|Unknown
Jumping Jack|D. Gottlieb &amp; Company|May, 1973|2|EM|Unknown
Jumping Jack|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Unknown
Jungle|Williams Electronic Manufacturing Company|July 11, 1960|1|EM|Hunting - Safari
Jungle|D. Gottlieb &amp; Company|September, 1972|4|EM|Fantasy
Jungle|Genco Manufacturing Company|May, 1938|1|EM|Fantasy
Jungle|Genco Manufacturing Company|September, 1941|1|EM|African Jungle - Animals
Jungle Africa|Lindstrom Tool and Toy Company|1934|1|ME|African Jungle
Jungle Drum|Bally Manufacturing Corporation|1947|1|EM|Foreign People
Jungle Drums|Williams Electronics, Incorporated|November, 1971|1|EM|Safari
Jungle Hunt|Exhibit Supply Company|June, 1935|1|EM|Unknown
Jungle Hunt|D. Gottlieb &amp; Company|February, 1935|1|ME|Unknown
Jungle King|D. Gottlieb &amp; Company|May, 1973|1|EM|Unknown
Jungle King|Renato Montanari Giochi|1973|1|EM|Unknown
Jungle Life|Unknown Manufacturer|Unknown|1|EM|Jungle
Jungle Life|D. Gottlieb &amp; Company|January, 1973|1|EM|Unknown
Jungle Lord|Williams Electronics, Incorporated|February, 1981|4|SS|Fantasy
Jungle Princess|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|August, 1977|2|EM|Fantasy
Jungle Queen|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|July, 1977|4|EM|Fantasy
Jungle Queen|Pinball Shop|1985|4|SS|Adventure
Junior|Genco Manufacturing Company|November, 1937|1|EM|Unknown
Junior|G. M. Laboratories, Incorporated|October, 1935|1|ME|Unknown
Junior League Bat-A-Ball|American Amusement Company|1946|1|ME|Sports - Baseball
Junk Yard|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|December, 1996|4|SS|Fantasy
Jupiter|Unknown Manufacturer|Unknown|1|EM|Mythology
Jurassic Park|Data East Pinball, Incorporated|April 26, 1993|4|SS|Fantasy - Licensed Theme
Just 21|D. Gottlieb &amp; Company|January, 1950|1|EM|Girls/Women
Just-Rite Monarch|Tennyson Manufacturing Company|March, 1935|1|EM|Unknown
Justice|Peo Manufacturing Corporation|January, 1936|1|EM|Unknown
K. C. Jones|D. Gottlieb &amp; Company|November, 1949|1|EM|Trains
K.O.|Superior Amusement Company|April, 1934|1|Unknown|Unknown
K.O.|Superior Manufacturing Company|1933|1|Unknown|Unknown
Kabuki|Data East Pinball, Incorporated|Unknown|4|SS|Kabuki
Kansas|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|American West
Karate Fight|Bally Midway Manufacturing Company|June, 1986|4|SS|Sports - Martial Arts
Karate Fight|Bally Wulff|June, 1986|4|SS|Sports - Martial Arts
Kardtainer|K-T Manufacturing Company|May, 1932|2|ME|Unknown
Karom Golf|Karom Golf Table Corporation|March, 1931|1|ME|Unknown
Karting|Rally a.k.a. Rally Play Company|1962|2|EM|Go Karts - Racing
Kasandra|Sigma|Unknown|1|Unknown|Mythology
KAY-JOR No.132|The Hoge Mfg. Co. Inc.|Unknown|1|ME|Unknown
Keen Ball|Keeney and Sons|February, 1932|1|ME|Unknown
Keen Ball Jackpot|Miller Cabinet Company|June, 1932|1|ME|Unknown
Keen-A-Ball|D. Gottlieb &amp; Company|September, 1939|1|EM|Unknown
Keen-O|J. H. Keeney and Company Incorporated|May, 1937|1|EM|Unknown
Keep 'Em Flying|D. Gottlieb &amp; Company|October, 1942|1|EM|Aviation - Combat - Military - Historical - Wartime - World War II - Patriotic
Kelly Pool (Junior)|D. Gottlieb &amp; Company|May, 1935|1|EM|Billiards
Kelly Pool (Senior)|D. Gottlieb &amp; Company|April, 1935|1|EM|Billiards
Keno|Unknown Manufacturer|Unknown|1|ME|Unknown
Kentucky|Bally Manufacturing Corporation|Unknown|1|EM|Sports - Horse Racing
Kentucky|Bally Manufacturing Corporation|January 16, 1941|1|EM|Sports - Horse Racing
Kentucky Derby|Unknown Manufacturer|Unknown|2|EM|Sports - Horse Racing
Kentucky Derby|O. D. Jennings and Company|1936|1|EM|Unknown
Kentucky Derby Winners|O. D. Jennings and Company|August, 1935|1|EM|Sports - Horse Racing
Kentucky Star|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Keops|Industria (Electromecánica) de Recreativos S.A|1976|1|EM|Egyptology
Kew Pin Golf Table|Karom Golf Table Corporation|June, 1931|1|ME|Unknown
Kew-Pin-Ball|C. D. Fairchild Amusement Machine Corporation|May, 1931|4|ME|Billiards
Kewpie Doll|D. Gottlieb &amp; Company|October, 1960|1|EM|Carnival - Shooting Gallery
Key Lite|Bally Manufacturing Corporation|February, 1939|1|EM|Unknown
Key West|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Khalifa|Jacques Martina|Unknown|4|EM|Historical People
Kick In|C. E. Hoagland|July, 1935|1|EM|Unknown
Kick Off|Shyvers Coin Automatic Machine Company|July, 1934|1|EM|Unknown
Kick Off|Bally Manufacturing Corporation|June, 1977|4|EM|Sports - Soccer
Kick-Back|Joseph Schneider Incorporated|July, 1935|1|ME|Unknown
Kick-Back (Electric)|Joseph Schneider Incorporated|Unknown|1|EM|Unknown
Kick-Off|Williams Manufacturing Company|March 20, 1958|1|EM|Sports - Football
Kicker|Chicago Coin Machine Manufacturing Company|August, 1966|1|EM|Sports - Soccer
Kicker|Donald E Hooker|July, 1934|1|EM|Unknown
Kicker|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|February, 1977|1|EM|Sports - Football - Futbol - Soccer
Kickers|Shyvers Manufacturing Company|August, 1937|1|EM|Unknown
Kickoff|Williams Electronics, Incorporated|December 05, 1967|1|EM|Sports - Football
Kill Shot|Data East Pinball, Incorporated|own|Unknown|Unknown|Unknown
Kilroy|Chicago Coin Machine Manufacturing Company|January 09, 1947|1|EM|Military Folklore
King|King Products Company|March, 1935|1|EM|Unknown
King Arthur and his Round Table|D. Gottlieb &amp; Company|October, 1949|1|EM|Historical - Knights
King Ball|King Game Factories|May, 1932|1|ME|Unknown
King Ball|Maquinas Recreativas Sociedad Anonima|1960|1|EM|Unknown
King Ball|Maquinas Recreativas Sociedad Anonima|1967|1|EM|Billiards
King Fish|Genco Manufacturing Company|August, 1935|1|EM|Unknown
King Game|Proyectos Electromecánicos de Tanteo y Color|1974|1|EM|Unknown
King Kong|LTD do Brasil Diversões Eletrônicas Ltda|Unknown|2|SS|Fictional Characters
King Kong|Data East Pinball, Incorporated|April, 1990|4|SS|Fictional Characters
King Kool|D. Gottlieb &amp; Company|July, 1972|2|EM|Happiness - Music
King of Diamonds|Retro Pinball LLC|2010|4|SS|Cards/Gambling
King of Diamonds|D. Gottlieb &amp; Company|January, 1967|1|EM|Cards/Gambling
King of Swat|Williams Manufacturing Company|May, 1955|1|EM|Unknown
King Pin|D. Gottlieb &amp; Company|December, 1973|1|EM|Sports - Bowling
King Pin|Williams Electronic Manufacturing Company|September 07, 1962|1|EM|Sports - Bowling
King Pin|Chicago Coin Machine Manufacturing Company|December, 1951|1|EM|Sports - Bowling
King Pin|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Sports - Bowling
King Pin|Pace Manufacturing Company Incorporated|February, 1932|1|ME|Unknown
King Rex|Bally Manufacturing Corporation|January, 1970|1|EM|Egyptology
King Rock|D. Gottlieb &amp; Company|May, 1972|4|EM|Happiness - Music
King Tut|Bally Manufacturing Corporation|December, 1969|1|EM|Egyptology - Historical
King Tut|Richard Manufacturing Company|October, 1932|1|ME|Egyptology - Historical
Kingdom|J. Esteban|Unknown|4|EM|Myth and Legend
Kingpin|Capcom Coin-Op, Incorporated|December, 1996|4|SS|Unknown
Kings|Williams Manufacturing Company|September 20, 1957|1|EM|Cards/Gambling
Kings|Genco Manufacturing Company|April, 1935|1|EM|Unknown
Kings &amp; Queens|D. Gottlieb &amp; Company|March, 1965|1|EM|Cards/Gambling
Kings of Steel|Bally Midway Manufacturing Company|March, 1984|4|SS|Historical - Knights - Cards
Kings of the Road|Game Plan, Incorporated|own|Unknown|SS|Car Culture
Kings of the Turf (First Model)|H. C. Evans &amp; Company|February, 1935|1|EM|Sports - Horse Racing
Kings of the Turf (Light-Up Model)|H. C. Evans &amp; Company|October, 1935|1|EM|Sports - Horse Racing
Kings of the Turf (Payout Model)|H. C. Evans &amp; Company|September, 1935|1|EM|Sports - Horse Racing
Kings of the Turf (Second Model)|H. C. Evans &amp; Company|May, 1935|1|EM|Sports - Horse Racing
Kismet|P &amp; S Machine Company|July, 1945|1|EM|Unknown
Kismet|Williams Electronic Manufacturing Company|November 27, 1961|4|EM|Unknown
Kismet|Unknown Manufacturer|Unknown|1|ME|Unknown
Kiss|Unknown Manufacturer|own|Unknown|SS|Unknown
Kiss|L &amp; V Mambelli|Unknown|1|SS|Unknown
Kiss|Bally Manufacturing Corporation|June, 1979|4|SS|Celebrities - Licensed
Klever Lite|Genco Manufacturing Company|February, 1935|1|EM|Unknown
Klick|Genco Manufacturing Company|November, 1938|1|EM|Unknown
Klondike|Bally Manufacturing Corporation|October, 1938|1|EM|Unknown
Klondike|Williams Electronics, Incorporated|August 23, 1971|1|EM|Canadian West
