!WOW!|Mills Novelty Company|March, 1932|1|ME|Unknown
All-Star Basketball Game (with bell)|Gotham Pressed Steel Corporation|1947|1|ME|Sports - Basketball
Alligator|Bally Manufacturing Corporation|June, 1969|4|EM|Adventure - Alligators - Water
Aloha|Advertising Posters Company|own|Unknown|Unknown|Hawaii
Aloha|Nate Schneller Incorporated|January, 1949|1|EM|American Places - Beach - Happiness - Hawaii - Swimming - Water - Women
Aloha|Williams Manufacturing Company|Unknown|1|EM|American Places - Hawaii
Aloha|D. Gottlieb &amp; Company|November, 1961|2|EM|Hawaii
Alpha 2001|Costruzioni Elettroniche Automatiche|1977|1|SS|Space Fantasy
Alpine Club|Williams Electronic Manufacturing Company|February, 1965|1|EM|Sports - Snow Skiing - Vacationing
Always Seven|E. M. Marchant|own|Unknown|EM|Unknown
Amazon Hunt|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|September, 1983|4|SS|Unknown
Amazon Hunt|Naujoks-Schulze-Menke|1985|4|SS|Unknown
Amazon Hunt II|Premier Technology|May, 1987|4|SS|Unknown
Amazon Hunt III|Premier Technology|September, 1991|4|SS|Unknown
Ambassador|Bally Manufacturing Corporation|1936|1|EM|Unknown
Ambassador (Standard)|Stoner Manufacturing Company|February, 1933|1|ME|Unknown
Ambassador De Luxe Jr.|Stoner Manufacturing Company|February, 1933|1|ME|Unknown
Ambassador De Luxe Sr.|Stoner Manufacturing Company|February, 1933|1|ME|Unknown
Amber|Williams Manufacturing Company|January 08, 1947|1|EM|Girls - Women
America 1492|Juegos Populares, S.A.|1986|4|SS|Historical
America's Most Haunted|Spooky Pinball LLC|March 21, 2014|4|SS|Ghost Hunting - Supernatural
American Beauty|Westerhaus Amusement Company|March, 1945|1|EM|Unknown
American Beauty|Gee Bee Manufacturing Company|February, 1934|1|ME|Unknown
American Beauty|Unknown Manufacturer|April, 1945|1|EM|Unknown
American Beauty|Daval Mfg Company Incorporated, G.B.|June, 1934|1|ME|Unknown
American Keen Ball Game|The W. C. Peters Company|Unknown|1|ME|Unknown
American League|Bally Manufacturing Corporation|May, 1939|1|EM|Sports - Baseball
Amigo|Bally Manufacturing Corporation|May, 1974|4|EM|Dancing - Happiness - Music - Singing - Mexican Culture
Ana Bond|Talleres del Llobregat S.A. [Automaticos]|1966|1|EM|Adventure - Fantasy
Anabel|Stoner Manufacturing Company|November, 1940|1|EM|Unknown
Anchors Aweigh|Shyvers Coin Automatic Machine Company|January, 1934|1|ME|Military - Nautical - Naval- Navy
Andromeda|Sigma|Unknown|1|Unknown|Space Fantasy
Andromeda|Game Plan, Incorporated|September, 1985|4|SS|Fantasy - Women
Angels|Dama S.R.L.|1970|1|EM|Motorcycles
Angle Lite|Coincraft Corporation|June, 1935|1|EM|Unknown
Animated|Stoner Manufacturing Company|February, 1940|1|EM|Unknown
Antar|Playmatic|November, 1979|4|SS|Unknown
Antares|Nordamatic|1979|4|SS|Unknown
Anti-Aircraft|Glickman Company|August, 1944|1|EM|Unknown
Apache|Playmatic|1975|1|EM|Unknown
Apache|Taito do Brasil, a division of Taito, Japan|own|Unknown|SS|Unknown
Apero Ball|Comet|Unknown|1|EM|Unknown
Apocalypse Now|Jeutel|1985|4|SS|Unknown
Apollo|Williams Electronics, Incorporated|June 19, 1967|1|EM|Space Exploration
Apollo 13|Sega Pinball, Incorporated|October, 1995|6|SS|Disaster - Space
Apollo 9|Talleres del Llobregat S.A. [Automaticos]|Unknown|1|EM|Space Exploration
Apollo Ball|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Apolo 2001|Manufacturas Automaticas Americanas|1969|1|EM|Space Exploration
Aquacade|United Manufacturing Company|May, 1949|1|EM|Aquatic Fun - Happiness
Aqualand|Juegos Populares, S.A.|1986|4|SS|Amusement Park - Water
Aquarius|Proyectos Electromecánicos de Tanteo y Color|Unknown|1|EM|Astrology
Aquarius|D. Gottlieb &amp; Company|October, 1970|1|EM|Astrology
Arabian Knights|D. Gottlieb &amp; Company|November, 1953|1|EM|Foreign Peoples
Arabian Night|Sega Enterprises, Ltd.|March 09, 1976|2|EM|Unknown
Arabic Power|Unknown Manufacturer|Unknown|1|EM|World Places
Arc En Ciel|Scott, Adickes &amp; Cie|1933|1|ME|Unknown
Arc En Ciel Bebe|Scott, Adickes &amp; Cie|1933|1|ME|Unknown
Arcade|Williams Manufacturing Company|November 06, 1951|1|EM|Carnival
Archer|A.B.T. Manufacturing Company|February, 1936|1|EM|Unknown
Archer|Genco Manufacturing Company|1937|1|EM|Sports - Archery
Archery|Glickman Company|March, 1942|1|EM|Sports - Archery
Arena|Premier Technology|June, 1987|4|SS|Fantasy
Argentine|Genco Manufacturing Company|July, 1941|1|EM|Dancing - Music - World Places
Argosy|Williams Electronics, Incorporated|September, 1977|4|EM|Boats - Nautical - Ships - Water
Aristocrat|Birmingham Vending Company|June, 1933|1|ME|Unknown
Aristocrat|Prosperity Coin Machine Corporation|1933|1|ME|Unknown
Aristocrat|A. S. Douglis Machine Company|March, 1932|1|ME|Unknown
Aristocrat L Standard|Stoner Manufacturing Company|March, 1934|1|ME|Unknown
Arizona|LTD do Brasil Diversões Eletrônicas Ltda|Unknown|2|SS|American West
Arizona|United Manufacturing Company|February, 1943|1|EM|American Places
Arlington|Bell Products Company|February, 1944|1|EM|Unknown
Arlington|Bally Manufacturing Corporation|July, 1937|1|EM|Unknown
Arlington|Universal Manufacturing Company|January, 1934|1|Unknown|Unknown
Arlington Park|Specialty Manufacturing Company|June, 1941|1|EM|Unknown
Armada|Stoner Manufacturing Company|February, 1941|1|EM|Unknown
Army &amp; Navy|Victory Games|October, 1944|1|EM|Military - Music - Singing
Army and Navy|Rock-ola Manufacturing Corporation|December, 1934|1|ME|Sports - Football
Army Navy|Williams Manufacturing Company|October 02, 1953|1|EM|Military - Sports - Football
Arnon Milchan|Data East Pinball, Incorporated|September, 1993|4|SS|Celebrities
Around the World|D. Gottlieb &amp; Company|July, 1959|2|EM|Outer Space - Travel
Around the World|Stoner Manufacturing Company|August, 1937|1|EM|Sports - Pinball
Arrow|V. P. Distributing Company|1944|1|EM|Unknown
Arrow|Allied Amusement Company|June, 1935|1|EM|Unknown
Arrow Head|Williams Manufacturing Company|February 19, 1957|1|EM|American West - Native Americans
Arrowhead|J. H. Keeney and Company Incorporated|September, 1962|2|EM|American West - Native Americans
Arrowhead|Bally Manufacturing Corporation|December, 1938|1|EM|Horse Racing
Arrows|Esso Manufacturing Corp.|1947|1|EM|Unknown
Artemis|Sigma|Unknown|1|Unknown|Sports - Archery - Mythology
Artists and Models|Victory Games|September, 1945|1|EM|Unknown
Ascot|Unknown Manufacturer|Unknown|1|EM|Sports - Horse Racing
Ascot Derby|Western Equipment &amp; Supply Company|May, 1938|1|EM|Sports - Horse Racing
Aspen|Brunswick Manufacturing Company|1979|4|SS|Sports - Snow Skiing
Asterix||November 25, 2009|4|EM|Cartoon - Fantasy
Asteroid Annie and the Aliens|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|December, 1980|1|SS|Aliens - Outer Space - Fantasy - Playing Cards - Poker
Asteroid Killer|Universal Company, Ltd.|January, 1980|4|SS|Unknown
Astro|D. Gottlieb &amp; Company|October, 1971|1|EM|Outer Space
Astro-Flite|Segasa|1974|1|EM|Outer Space
Astrologic||October, 1978|2|SS|Astrology - Fantasy
Astronaut|Chicago Coin Machine Manufacturing Company|June 09, 1969|2|EM|Astronauts - Outer Space
Atari Pinball|Atari, Incorporated|1978|4|SS|Unknown
Atlantic City|Bally Manufacturing Corporation|May, 1938|1|EM|Unknown
Atlantic City|Bally Manufacturing Corporation|April, 1952|1|EM|American Places - Beaches - Swimming - Women
Atlanticus|T.H. Bergmann &amp; Company|April, 1960|1|EM|Unknown
Atlantis|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|April, 1989|4|SS|Myth and Legend - Water Sports
Atlantis|Nordamatic|1978|1|EM|Unknown
Atlantis|D. Gottlieb &amp; Company|January, 1975|1|EM|Fantasy - Mythology
Atlas|D. Gottlieb &amp; Company|April, 1959|2|EM|Mythology
Atlas|Lindstrom Tool and Toy Company|June, 1934|1|ME|Travel
Atleta|Industria (Electromecánica) de Recreativos S.A|1991|4|SS|Unknown
Atom-Jet|American Amusement &amp; Mfg. Co., Inc.|Unknown|1|EM|Unknown
Ator|Unknown Manufacturer|Unknown|4|SS|Adventure - Fantasy
Attack|Playmatic|October, 1980|4|SS|Outer Space - Fantasy
Attack from Mars|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|December, 1995|4|SS|Aliens - Martians - Fantasy
Attention|Exhibit Supply Company|November, 1940|1|EM|Unknown
Attention|Bally Manufacturing Corporation|1940|1|EM|Aircraft - Airplanes - Airports - Aviation - Flying - Naval Warfare
Attila the Hun|Game Plan, Incorporated|April, 1984|4|SS|Historical
Aurora|Burrows Automatic Supply Company, Ltd.|1935|1|EM|Unknown
Auroran|Stoner Manufacturing Company|December, 1937|1|EM|Unknown
Austin Powers™|Stern Pinball, Incorporated|June, 2001|4|SS|Spies - Licensed Theme
Auto Derby|Genco Manufacturing Company|June, 1937|1|EM|Sports - Auto Racing
Auto Race|D. Gottlieb &amp; Company|December, 1969|1|EM|Unknown
Auto Race|D. Gottlieb &amp; Company|September, 1956|1|EM|Sports - Auto Racing
Auto Roll|Seaboard New York Corporation|own|Unknown|EM|Unknown
Auto Stop|Proyectos Electromecánicos de Tanteo y Color|Unknown|1|EM|Automobiles - Cars - Travel
Auto Winner|A.B.T. Manufacturing Company|March, 1935|1|EM|Unknown
Autobank|A.B.T. Manufacturing Company|February, 1934|1|EM|Unknown
Autocount|A.B.T. Manufacturing Company|November, 1933|1|EM|Unknown
Autodart|A.B.T. Manufacturing Company|February, 1935|1|EM|Unknown
Autoflash|A.B.T. Manufacturing Company|1935|1|EM|Unknown
Automat|Bally Manufacturing Corporation|Unknown|1|ME|Sports - Auto Racing
Automat|Bally Manufacturing Corporation|1936|1|EM|Unknown
Automatic Poker Das|Unknown Manufacturer|Unknown|1|ME|Playing Cards - Poker
Automatic Pool|Chicago Coin Machine Manufacturing Company|Unknown|2|EM|Billiards
Automatic Whiffle|Automatic Industries, Incorporated|July, 1932|1|Unknown|Unknown
Autowhirl|A.B.T. Manufacturing Company|February, 1934|1|ME|Unknown
Avalanche||Unknown|1|EM|World Places - Sports - Snow Sports - Happiness - Recreation
Avalanche|Williams Electronics, Incorporated|March, 1985|4|SS|Unknown
Avalon|Exhibit Supply Company|August, 1939|1|EM|Unknown
